,fold_id,mahalanobis_mse,nucnorm
0,0,2.4543996942315567,1024
1,1,2.4571284803310665,1024
2,2,2.428606379541065,1024
3,3,2.4468885553415336,1024
4,4,2.4976011682921446,1024
5,0,2.4288980026013767,128
6,1,2.4308243533737097,128
7,2,2.403315829700942,128
8,3,2.420384492871952,128
9,4,2.472231203550394,128
10,0,1.9857236831176763,16384
11,1,1.9784670049904127,16384
12,2,1.9703078881719285,16384
13,3,1.9759594427671516,16384
14,4,2.0149512172914585,16384
15,0,2.423761265384775,16
16,1,2.425280517065407,16
17,2,2.3985387197617936,16
18,3,2.414873395413086,16
19,4,2.4665069740839223,16
20,0,2.4233278379683076,1
21,1,2.4248687340743427,1
22,2,2.398106996652348,1
23,3,2.414453518956089,1
24,4,2.4661052377867514,1
25,0,2.4727741118528996,2048
26,1,2.477016675726237,2048
27,2,2.447666338118154,2048
28,3,2.466432565976441,2048
29,4,2.5152345151827364,2048
30,0,2.433688504320998,256
31,1,2.4360840695295636,256
32,2,2.4083762934928963,256
33,3,2.425470668397181,256
34,4,2.4774597785040258,256
35,0,2.4233404800219875,2
36,1,2.424880805100848,2
37,2,2.3981195501087655,2
38,3,2.4144661496704494,2
39,4,2.466117017193635,2
40,0,1.748443172061837,32768
41,1,1.7492993829359045,32768
42,2,1.73006958497404,32768
43,3,1.746545472862485,32768
44,4,1.7766648842674446,32768
45,0,2.4243869256116364,32
46,1,2.4259443000773113,32
47,2,2.3989054598613504,32
48,3,2.415532540553681,32
49,4,2.4671947073974487,32
50,0,2.4392897185186393,4096
51,1,2.44119776098315,4096
52,2,2.4144597651977815,4096
53,3,2.4324856654401916,4096
54,4,2.4805497491703328,4096
55,0,2.423367828104442,4
56,1,2.424906733612735,4
57,2,2.3981466770498914,4
58,3,2.4144934121257706,4
59,4,2.466142388689741,4
60,0,2.439868890529519,512
61,1,2.442967099502317,512
62,2,2.4147764390575617,512
63,3,2.432309673757121,512
64,4,2.483600611519985,512
65,0,2.425884734323213,64
66,1,2.427543341825712,64
67,2,2.400200992967892,64
68,3,2.417095193696668,64
69,4,2.4687975392028836,64
70,0,2.2722342922040695,8192
71,1,2.273340511016406,8192
72,2,2.2467245836327794,8192
73,3,2.265232477653901,8192
74,4,2.3042206475679405,8192
75,0,2.4234325291029633,8
76,1,2.424966884977361,8
77,2,2.3982106624973163,8
78,3,2.4145575975139875,8
79,4,2.4662018067556604,8
